Area_x,Year,Item,Production,ISO3,Area_y,Population,Exports,Imports,Net_Food_Availability_Capita,Weighted_Degree,Betweenness,Production_Shocked,Ratio,Imports_Shocked,Exports_Shocked,Availability_After_Shock,Deficit_kg_per_capita,Percent_Drop
Albania,2022,Rice,0,ALB,Albania,2827608,16924611.753152262,16189536.727174,0,33114148.480326246,8.056356918493575e-5,0,0.9998248861842252,16186701.715622079,16924611.753152262,-260.96617265553914,-260.96617265553914,0
Albania,2022,Wheat,233145,ALB,Albania,2827608,16924611.753152262,16189536.727174,82.45308402013292,33114148.480326246,8.056356918493575e-5,233145,0.9998248861842252,16186701.715622079,16924611.753152262,-178.51308863540626,-260.9661726555392,-3.1650262177193755
Algeria,2022,Maize (corn),11000,DZA,Algeria,45477389,228101613.57154214,0,0.24187844205391823,228101613.57154223,0,11000,0.9998248861842252,0,228101613.57154214,-5015.472932527902,-5015.7148109699565,-20736.510324685656
Algeria,2022,Rice,307.49,DZA,Algeria,45477389,228101613.57154214,0,0.00676138201337812,228101613.57154223,0,307.49,0.9998248861842252,0,228101613.57154214,-5015.708049587943,-5015.7148109699565,-741817.9894355661
Algeria,2022,Wheat,3000000,DZA,Algeria,45477389,228101613.57154214,0,65.9668478328868,228101613.57154223,0,3000000,0.9998248861842252,0,228101613.57154214,-4949.747963137069,-5015.714810969956,-76.03387119051405
Americas,2022,Maize (corn),574476164.4,NA,"Ascension, Saint Helena and Tristan da Cunha",5343,0,0,107519401.90903988,0,0,574476164.4,0.9998248861842252,0,0,107519401.90903987,-1.4901161193847656e-8,-1.3859043976503755e-16
Americas,2022,Maize (corn),574476164.4,NA,Bolivia (Plurinational State of),12077154,0,0,47567.18051289236,0,0,574476164.4,0.9998248861842252,0,0,47567.18051289236,0,0
Americas,2022,Maize (corn),574476164.4,NA,"China, Hong Kong SAR",7465915,0,0,76946.51819636307,0,0,574476164.4,0.9998248861842252,0,0,76946.51819636307,0,0
Americas,2022,Maize (corn),574476164.4,NA,"China, Macao SAR",704356,0,0,815604.842437631,0,0,574476164.4,0.9998248861842252,0,0,815604.842437631,0,0
Americas,2022,Maize (corn),574476164.4,NA,"China, mainland",1425179569,0,0,403.0903732384336,0,0,574476164.4,0.9998248861842252,0,0,403.09037323843364,5.684341886080802e-14,1.410190434569975e-16
Americas,2022,Maize (corn),574476164.4,NA,"China, Taiwan Province of",23420111,0,0,24529.181966729364,0,0,574476164.4,0.9998248861842252,0,0,24529.181966729364,0,0
Americas,2022,Maize (corn),574476164.4,NA,C̫te d'Ivoire,30395002,0,0,18900.34961669027,0,0,574476164.4,0.9998248861842252,0,0,18900.34961669027,0,0
Americas,2022,Maize (corn),574476164.4,NA,Cura̤ao,185345,0,0,3099496.422347514,0,0,574476164.4,0.9998248861842252,0,0,3099496.422347514,0,0
Americas,2022,Maize (corn),574476164.4,NA,Democratic Republic of the Congo,102396968,0,0,5610.284909998507,0,0,574476164.4,0.9998248861842252,0,0,5610.284909998507,0,0
