ISO3,Production,Imports_Original,Imports_Shocked,Population,Availability_Baseline,Availability_After_Shock,Percent_Drop,Severity
AFG,311000,0,0,40578842,7.664092533739627,7.664092533739627,0,Low
AFG,592000,0,0,40578842,14.588883536893439,14.588883536893439,0,Low
AFG,3802895,0,0,40578842,93.71620313857157,93.71620313857157,0,Low
ZAF,94819000.04,450969503.440033,339994333.2898078,62378410,8749.637951336577,6970.574167084537,-0.20332998852601367,High
ZAF,94819000.04,450969503.440033,339994333.2898078,1446883651,377.21658068554194,300.51713766292863,-0.20332998852601356,High
ZAF,40108154.29,450969503.440033,339994333.2898078,62378410,7872.558113136148,6093.494328884109,-0.22598293447761203,High
ZAF,40108154.29,450969503.440033,339994333.2898078,1446883651,339.4036952388185,262.7042522162052,-0.225982934477612,High
ZAF,26115468.87,450969503.440033,339994333.2898078,62378410,7648.238746547612,5869.174962295573,-0.23261091124477543,High
ZAF,26115468.87,450969503.440033,339994333.2898078,1446883651,329.73278257743823,253.03333955482492,-0.2326109112447754,High
ALB,401419,16189536.727174,13624876.184245,2827608,5867.487900435281,4960.4807965761165,-0.15458184477753717,High
ALB,0,16189536.727174,13624876.184245,2827608,5725.523738500528,4818.516634641364,-0.15841469624169308,High
ALB,233145,16189536.727174,13624876.184245,2827608,5807.976822520661,4900.969718661498,-0.15616575815905587,High
DZA,11000,0,0,45477389,0.24187844205391826,0.24187844205391826,0,Low
DZA,307.49,0,0,45477389,0.0067613820133781205,0.0067613820133781205,0,Low
DZA,3000000,0,0,45477389,65.9668478328868,65.9668478328868,0,Low
NA,574476164.4,0,0,5343,107519401.90903987,107519401.90903987,0,Low
NA,574476164.4,0,0,12077154,47567.18051289236,47567.18051289236,0,Low
NA,574476164.4,0,0,7465915,76946.51819636307,76946.51819636307,0,Low
NA,574476164.4,0,0,704356,815604.842437631,815604.842437631,0,Low
NA,574476164.4,0,0,1425179569,403.09037323843364,403.09037323843364,0,Low
NA,574476164.4,0,0,23420111,24529.181966729364,24529.181966729364,0,Low
NA,574476164.4,0,0,30395002,18900.34961669027,18900.34961669027,0,Low
NA,574476164.4,0,0,185345,3099496.422347514,3099496.422347514,0,Low
NA,574476164.4,0,0,102396968,5610.284909998507,5610.284909998507,0,Low
NA,574476164.4,0,0,89524246,6416.989699081074,6416.989699081074,0,Low
NA,574476164.4,0,0,112114,5124035.931284228,5124035.931284228,0,Low
NA,574476164.4,0,0,17904421,32085.71583521187,32085.71583521187,0,Low
NA,574476164.4,0,0,871540,659150.6579158731,659150.6579158731,0,Low
NA,574476164.4,0,0,10920,52607707.36263736,52607707.36263736,0,Low
NA,574476164.4,0,0,87058473,6598.739268031958,6598.739268031958,0,Low
NA,574476164.4,0,0,86507,6640805.534812212,6640805.534812212,0,Low
NA,574476164.4,0,0,28213017,20362.096134560867,20362.096134560867,0,Low
NA,574476164.4,0,0,11478,50050197.2817564,50050197.2817564,0,Low
NA,574476164.4,0,0,8021406686,71.61788285870736,71.61788285870736,0,Low
NA,574476164.4,0,0,475299909,1208.6603711089706,1208.6603711089706,0,Low
NA,574476164.4,0,0,199713824,2876.496743660569,2876.496743660569,0,Low
NA,574476164.4,0,0,264719925,2170.128162434316,2170.128162434316,0,Low
NA,574476164.4,0,0,71212991,8067.013564982827,8067.013564982827,0,Low
NA,574476164.4,0,0,435937001,1317.796294148475,1317.796294148475,0,Low
NA,574476164.4,0,0,1034848565,555.1306575952975,555.1306575952975,0,Low
NA,574476164.4,0,0,380481775,1509.8651292824736,1509.8651292824736,0,Low
NA,574476164.4,0,0,179821109,3194.709272980849,3194.709272980849,0,Low
NA,574476164.4,0,0,44052902,13040.597516140935,13040.597516140935,0,Low
NA,574476164.4,0,0,430492778,1334.4617929920303,1334.4617929920303,0,Low
NA,574476164.4,0,0,4747661033,121.00193345879923,121.00193345879923,0,Low
NA,574476164.4,0,0,79341768,7240.526382018611,7240.526382018611,0,Low
NA,574476164.4,0,0,1663264901,345.3906614963193,345.3906614963193,0,Low
NA,574476164.4,0,0,2022467287,284.0471972489313,284.0471972489313,0,Low
NA,574476164.4,0,0,684898412,838.7757283922568,838.7757283922568,0,Low
NA,574476164.4,0,0,297688665,1929.7885070632435,1929.7885070632435,0,Low
NA,574476164.4,0,0,746964086,769.0813724075082,769.0813724075082,0,Low
NA,574476164.4,0,0,289050977,1987.4562278334731,1987.4562278334731,0,Low
NA,574476164.4,0,0,107439461,5346.97548789825,5346.97548789825,0,Low
NA,574476164.4,0,0,151975351,3780.0614416741832,3780.0614416741832,0,Low
NA,574476164.4,0,0,198498297,2894.1113001085346,2894.1113001085346,0,Low
NA,574476164.4,0,0,45049350,12752.15212650127,12752.15212650127,0,Low
NA,574476164.4,0,0,31332719,18334.70514959139,18334.70514959139,0,Low
NA,574476164.4,0,0,12503827,45944.0269287155,45944.0269287155,0,Low
NA,574476164.4,0,0,449113453,1279.1337257047162,1279.1337257047162,0,Low
NA,574476164.4,0,0,1134811910,506.2302918551498,506.2302918551498,0,Low
NA,574476164.4,0,0,566128954,1014.7443622888788,1014.7443622888788,0,Low
NA,574476164.4,0,0,72230332,7953.392272930436,7953.392272930436,0,Low
NA,574476164.4,0,0,1039281637,552.7627391342045,552.7627391342045,0,Low
NA,574476164.4,0,0,1780529299,322.6434772641166,322.6434772641166,0,Low
NA,34206687.81,0,0,5343,6402150.067377878,6402150.067377878,0,Low
NA,34206687.81,0,0,12077154,2832.3467441087532,2832.3467441087532,0,Low
NA,34206687.81,0,0,7465915,4581.7140712156515,4581.7140712156515,0,Low
NA,34206687.81,0,0,704356,48564.48700657055,48564.48700657055,0,Low
NA,34206687.81,0,0,1425179569,24.00166866972537,24.00166866972537,0,Low
NA,34206687.81,0,0,23420111,1460.5689874825957,1460.5689874825957,0,Low
NA,34206687.81,0,0,30395002,1125.4050192199363,1125.4050192199363,0,Low
NA,34206687.81,0,0,185345,184556.84161968224,184556.84161968224,0,Low
NA,34206687.81,0,0,102396968,334.05957693981725,334.05957693981725,0,Low
NA,34206687.81,0,0,89524246,382.0941179443165,382.0941179443165,0,Low
NA,34206687.81,0,0,112114,305106.3008188095,305106.3008188095,0,Low
NA,34206687.81,0,0,17904421,1910.5162803086457,1910.5162803086457,0,Low
NA,34206687.81,0,0,871540,39248.5575074007,39248.5575074007,0,Low
NA,34206687.81,0,0,10920,3132480.5686813192,3132480.5686813192,0,Low
NA,34206687.81,0,0,87058473,392.91623929585813,392.91623929585813,0,Low
NA,34206687.81,0,0,86507,395421.0388754668,395421.0388754668,0,Low
NA,34206687.81,0,0,28213017,1212.4434550902515,1212.4434550902515,0,Low
NA,34206687.81,0,0,11478,2980195.836382645,2980195.836382645,0,Low
NA,34206687.81,0,0,8021406686,4.264425075180636,4.264425075180636,0,Low
NA,34206687.81,0,0,475299909,71.9686395100909,71.9686395100909,0,Low
NA,34206687.81,0,0,199713824,171.27851805591587,171.27851805591587,0,Low
NA,34206687.81,0,0,264719925,129.21841002334827,129.21841002334827,0,Low
NA,34206687.81,0,0,71212991,480.3433661422816,480.3433661422816,0,Low
NA,34206687.81,0,0,435937001,78.46704393417617,78.46704393417617,0,Low
