ISO3,Year,Weighted_Degree,Betweenness
YEM,1992,2849480.6690000035,0
ZMB,1992,3222317.6459999983,0
ZWE,1992,4053975.2049999963,0
ALB,1992,234342.22100000008,0
ESH,1992,19208.013999999996,0
FJI,1992,1125680.8049999992,0
GUF,1992,58662.693000000036,0
KHM,1992,669251.93,0
MNG,1992,417699.9050000002,0
PLW,1992,133774.00199999992,0
SOM,1992,289116.87499999994,0
SPM,1992,61274.453000000045,0
ZAF,1992,97835032.73200002,0.0022227643804222813
BIH,1992,765157.4750000002,0
BLR,1992,1097131.6379999996,0
BLZ,1992,1644917.0479999995,4.901536185544589e-5
COK,1992,22346.61000000002,0
CXR,1992,30166.833,0
DZA,1992,55631904.43699995,3.6915790683865934e-4
EST,1992,909426.8759999999,0
HRV,1992,20538689.706000034,1.386973358970997e-4
KGZ,1992,103799.11400000007,0
KIR,1992,4600.067999999998,0
LTU,1992,1592733.0710000007,0
LVA,1992,1497702.539,0
MDA,1992,110090.92200000005,0
MHL,1992,33156.723999999995,0
MNP,1992,6375.388999999997,0
MSR,1992,13710.900000000001,0
NCL,1992,949199.5989999997,0
NFK,1992,357.6479999999999,0
PNG,1992,5911553.305999993,0
PYF,1992,213898.17400000012,0
QAT,1992,11183614.020000014,0
SLB,1992,262012.30000000002,0
SVN,1992,10732733.999999996,0
TUV,1992,1873.4769999999996,0
VUT,1992,93124.34299999996,0
WSM,1992,156329.273,0
AND,1992,65068.633000000016,0
DJI,1992,19971.397,0
ABW,1992,823207.1270000003,0
PCN,1992,1433.0759999999998,0
AZE,1992,34690.15500000002,0
GEO,1992,92811.16599999997,0
GNQ,1992,90296.72300000004,0
KAZ,1992,1042993.1300000008,0
TJK,1992,69104.38200000001,0
TKM,1992,156635.36900000004,0
UZB,1992,377668.2400000001,0
ARM,1992,22354.712000000003,0
UMI,1992,182427.22300000003,0
MCO,1992,334.1480000000001,0
LCA,1992,1223308.452000001,0
ABW,2002,3950321.505022305,0
AFG,2002,288020.7597835705,0
AGO,2002,28280268.62172105,0
ALB,2002,7558288.9515725495,6.223979358844975e-5
AND,2002,272006.0721304473,0
ARE,2002,201725476.67155692,0.002170740312369398
ARG,2002,145828495.82105732,6.033633272466319e-4
ARM,2002,4920686.834943182,3.0379938048278334e-5
ASM,2002,155521.30514737443,0
ATG,2002,1230382.4914992063,0
AUS,2002,522437630.85427594,0.009907452759899765
AUT,2002,591300858.9123982,0.00699869178533796
AZE,2002,12947026.530745588,7.955368231797139e-5
BDI,2002,701215.7228985078,2.880889688879779e-5
BEL,2002,1460540075.4977713,0.006154598224648518
BEN,2002,4227098.842687404,1.927084541797733e-4
BFA,2002,3436057.7724538385,5.801330640639581e-5
BGD,2002,61879144.64884069,0.0015520001232072777
BGR,2002,50665337.27564439,0.001874717974559166
BHR,2002,9688732.585752597,0
BIH,2002,3739201.7470210325,0
BLR,2002,54763414.403124705,2.558337099376006e-4
BLZ,2002,2397540.6904940237,2.0292837757867582e-4
BMU,2002,509551.66867938155,0
BOL,2002,4582701.514633355,0
BRA,2002,462383668.50413585,0.0026258680826579785
BRB,2002,5819211.262481,4.502596796437611e-4
BRN,2002,18724265.05897084,2.1981382229019782e-5
BTN,2002,138486.3405239657,0
BVT,2002,27764.85664557502,0
BWA,2002,21277311.76043739,2.5043634149535715e-4
CAF,2002,980429.557841483,2.1140392908674242e-5
CAN,2002,2050596492.5169566,0.010556833544420406
CCK,2002,12693.524827944007,0
CHE,2002,773729298.436272,0.007505645205785304
CHL,2002,133679283.2534168,4.230583902959817e-4
CHN,2002,2496393347.966676,0.004715084840907964
CIV,2002,15728132.780956026,0
CMR,2002,15108730.32484891,4.4275912854374686e-4
COK,2002,34813.89324973611,0
COL,2002,102697932.46313031,0.0013862894685618954
COM,2002,270198.01651278173,7.444850376096536e-5
CRI,2002,63275284.479337536,5.583627493434087e-4
CUB,2002,22761034.72720207,4.242768126802855e-4
CXR,2002,129010.06152992006,0
CYM,2002,1125993.629847112,0
CYP,2002,20862100.220363695,0.0011323126654884123
CZE,2002,377242609.65631276,0.0031038876883130355
DEU,2002,4440876242.718556,0.014179065323250672
DJI,2002,116048.45846477045,0
DMA,2002,744223.6304348501,1.246655155823887e-4
DNK,2002,407977789.94056904,0.005134907072487464
DOM,2002,56623925.34757927,0.0011863929704750574
DZA,2002,111503476.80352841,2.2118681664674348e-4
ECU,2002,50977064.659234606,8.594968464426584e-4
ERI,2002,47243.14704773056,0
ESP,2002,1225236894.53694,0.008165670457964012
EST,2002,35810201.76028938,5.279921967001465e-4
FIN,2002,322575167.0336523,0.0019101282757343356
FJI,2002,5225523.285526991,3.700763627143702e-4
FLK,2002,360569.8304879593,0
FRA,2002,2585885470.56005,0.011865098310685279
GAB,2002,14039815.720809719,2.6534711717586647e-5
GBR,2002,2558688662.6826134,0.008563735733434557
GEO,2002,4722970.660362534,2.491850966287527e-4
GHA,2002,17782967.337533057,9.113921956877131e-4
GIB,2002,427338.2573133052,0
GIN,2002,5713463.997044932,2.3527198996560892e-4
GNQ,2002,7592564.59549617,0
GRC,2002,164860171.08850604,0.0022284622142743453
GRD,2002,1024342.0443251687,1.7319004647387015e-4
GTM,2002,48379379.48970702,6.112574341657671e-4
GUM,2002,126937.73120888606,0
GUY,2002,4204929.808297372,1.6339961777765748e-4
HMD,2002,2578.5037790765377,0
HND,2002,32177784.437923096,6.576604296594127e-4
HRV,2002,61291935.09937528,0.0014727209453668994
HTI,2002,1405431.5762405028,0
HUN,2002,311819219.982679,0.001622701401145927
IDN,2002,357217207.872698,0.005332015252851578
IND,2002,363047596.09256107,0.003969656064752497
IRL,2002,672031588.745314,0.0036537998628237605
IRQ,2002,32960948.437624075,0
ISL,2002,8802746.003431225,0
ISR,2002,232965623.55626342,9.86255926968319e-4
ITA,2002,1978281845.702947,0.008000607827989675
JAM,2002,20620507.098731138,2.8500062269212387e-4
JOR,2002,28222274.390878092,2.1310969710166793e-4
JPN,2002,3001501825.0575333,0.007433748130201968
KAZ,2002,61674496.07211923,2.056091924331532e-4
KEN,2002,21262421.71950435,7.806908293190161e-4
KGZ,2002,3454694.613561292,2.1751927970859655e-5
KHM,2002,13919597.297539765,1.4999418552973212e-4
KIR,2002,120076.111363463,0
KWT,2002,64820315.84641822,3.5168302575473573e-4
LBN,2002,30590306.538921446,0.0021416576418036067
LBR,2002,5718757.212969862,0
LBY,2002,39947257.17564531,0
LKA,2002,42684348.39517067,5.807132987439576e-4
LSO,2002,4281602.08365172,5.920223879154045e-6
LTU,2002,52115698.39977001,3.697424320599272e-4
LUX,2002,82476434.38991433,5.78385868505927e-4
LVA,2002,27151444.80824555,1.2732880114718354e-4
MAC,2002,11099094.545839937,0
MAR,2002,87476593.04222043,8.578932499566155e-4
MDA,2002,7574283.134981796,1.2965482544247283e-4
MDG,2002,5819893.760540074,3.8126843684541475e-4
MDV,2002,2754617.464951729,3.828894924093005e-6
MEX,2002,1456509764.2793372,0.0018610379001121617
MHL,2002,1003165.9156272794,0
MLI,2002,5713188.034146441,2.085288814260637e-4
MLT,2002,21652340.601336736,2.981029489239595e-4
MMR,2002,11175713.591695271,0
MNG,2002,2350461.93030642,0
MNP,2002,35162.64051836937,0
MOZ,2002,8623940.217200026,2.6762138328255484e-4
MRT,2002,3533222.057132149,3.572911482898847e-5
MSR,2002,13469.026619996404,0
MUS,2002,16754982.924604498,5.465908720217597e-4
MWI,2002,4875021.736391937,1.3084600291494506e-4
MYS,2002,668255203.7552233,0.003467056319611355
NAM,2002,9205304.839691788,2.825420352844635e-4
NCL,2002,5841606.488711559,1.9708448487506193e-4
NGA,2002,100328067.09371445,0.003554342548820478
NIC,2002,12236553.386749888,2.3790154825487628e-4
NIU,2002,23308.868059404984,0
NLD,2002,797503380.7356441,0
NOR,2002,352233168.3114582,0.0019359053270716453
NPL,2002,2567836.7481589923,0
NRU,2002,43984.00847486397,0
NZL,2002,120223956.57873173,0.002853392223939137
OMN,2002,51484163.20463053,2.613285243752805e-4
PAK,2002,38062198.19039495,0
PAN,2002,22717858.652528822,1.5344400812123128e-4
PCN,2002,13207.109504951975,0
PER,2002,60784164.642365165,6.755964689472764e-4
PHL,2002,321421371.1062094,0.002274069056144347
PNG,2002,11252666.876392076,1.9154341760721207e-4
POL,2002,400885564.08170325,0.001254627685499481
PRT,2002,288412530.94663966,0.003378485838501192
PRY,2002,16020939.255468499,5.012087334249359e-5
PYF,2002,697414.8231893976,0
QAT,2002,47876915.25378453,1.3767628645754908e-4
ROU,2002,60832255.099417984,0
RUS,2002,578176345.1792245,0.0026796649145532105
RWA,2002,1490239.5335599994,7.896848251673887e-5
SAU,2002,337729152.6141853,6.598557515893461e-4
SEN,2002,11956477.286015078,3.925002939522453e-4
SGP,2002,329767575.89565873,0
SHN,2002,89463.07304484758,0
SLB,2002,464044.2729590846,9.036583014672194e-6
SLE,2002,2101697.3928915365,0.003283873176984324
SLV,2002,39939556.524983004,1.690087343496545e-4
SMR,2002,163092.9846664751,0
SOM,2002,499927.00847633637,0
STP,2002,176272.60844033427,2.5200866895581123e-5
SUR,2002,3446042.6113079125,8.49254008427775e-5
SVK,2002,140741030.42986414,0.001248672189522345
SVN,2002,90155630.4330571,0.0018943343231493073
SWE,2002,622171067.8022491,0.0037423837032817078
SYC,2002,1466453.9981971618,0
SYR,2002,86972553.07190044,5.9099620257600114e-5
TCD,2002,311949.8400330238,0
TGO,2002,2848845.538819252,3.6882424101202644e-4
THA,2002,521576480.00521976,0.005960645986362483
TJK,2002,1735165.6340744642,0
TKL,2002,91297.8490274586,0
TKM,2002,9910715.353088131,0
TTO,2002,33017265.08438337,3.2003091765183214e-4
TUN,2002,72396097.11474352,7.784167289282965e-4
TUV,2002,1595926.0254989355,0
TZA,2002,10183441.450962143,0.0010586517174958345
UGA,2002,5917060.348559914,2.578004687649788e-4
UKR,2002,134816280.44297,0.001404699958217913
URY,2002,17392872.20948991,1.619819693846323e-4
USA,2002,7826374688.829513,0.011344587203672155
UZB,2002,8071510.089469586,0
VAT,2002,14098.88358406011,0
VEN,2002,99634347.14027993,0
VGB,2002,1676836.9223904626,0
VNM,2002,123242826.00348575,0.0018052665969629717
WSM,2002,191486.6076483502,0
YEM,2002,8471301.001940155,0
ZMB,2002,8702633.49968667,2.1702902856504013e-4
ZWE,2002,16001595.426484708,3.8658357628290624e-4
GRL,2002,1719200.8615580902,0
ZAF,2002,256796623.42741337,0.006767507043698139
NFK,2002,16104.494374216032,0
PLW,2002,130478.309,0
SPM,2002,22628.441256818183,0
TON,2002,104348.12553964501,0
UMI,2002,71089.67864680599,0
VUT,2002,216378.06606151603,0
ATA,2002,1302.933928409999,0
SGS,2002,4469.6365064149995,0
GNB,2002,348146.88429943065,0
ESH,2002,30956.486829153007,0
MYT,2002,151451.83666920738,0
MCO,2002,887.7090000000001,0
BHS,2002,7561379.2239999985,0
CPV,2002,1188643.2869999988,0
EGY,2002,45691066.73856095,0
SWZ,2002,4558083.4300000025,0
ETH,2002,6545492.711544353,0
GMB,2002,678195.2570493716,0
FSM,2002,28593.820000000003,0
MKD,2002,6761352.588519985,0
LCA,2002,1342164.821,0
VCT,2002,753425.873,0
SDN,2002,9301711.674938181,0
CHN,2012,13479835545.39847,0.009098128646865294
DEU,2012,10088439129.682571,0.005871233282886443
GBR,2012,4405356856.931572,0.005677829717311473
IND,2012,2812704341.8685923,0.005538558582357381
JPN,2012,6743067406.356896,0.004388561924354453
PAK,2012,286863169.430662,0.005103797909697739
ABW,2012,6439008.223293195,0
AFG,2012,6968092.7022417225,1.6179242022266962e-7
AGO,2012,404138978.7362441,4.95218924029864e-4
ALB,2012,26186794.705432724,1.6516363061243468e-4
AND,2012,1165290.6251617498,0
ARE,2012,1661401585.4682121,0.0027604705609643653
ARG,2012,622641841.7194808,8.416209382909297e-4
ARM,2012,20076733.61988307,1.4008880635096692e-4
ASM,2012,256574.22313522105,0
ATA,2012,29998.300506138712,0
ATG,2012,4188952.752901981,2.249347447961256e-4
AUS,2012,1908536764.6885877,0.004496146448046932
AUT,2012,1332087162.388361,0.003214683759018135
AZE,2012,143379070.63394567,1.9271870911464085e-4
BDI,2012,4992493.555308022,3.929791574216342e-5
BEL,2012,2600615699.6005106,0.00401228078516562
BEN,2012,14909080.36775433,1.968214626166322e-4
BFA,2012,21615287.023061667,7.464365736708635e-5
