Area_x,Year,Item,Production,ISO3,Area_y,Population,Exports,Imports,Net_Food_Availability_Capita
Americas,1992,Maize (corn),312078090.26,,CÃ´te d'Ivoire,13200310.0,0,0,23641.724342837402
Americas,1992,Maize (corn),312078090.26,,Czechoslovakia,15618884.0,0,0,19980.818748637867
Americas,1992,Maize (corn),312078090.26,,Democratic Republic of the Congo,39228910.0,0,0,7955.308731749111
Americas,1992,Maize (corn),312078090.26,,Ethiopia PDR,53652496.0,0,0,5816.6555803853
Americas,1992,Maize (corn),312078090.26,,Iran (Islamic Republic of),61184983.0,0,0,5100.566756061696
Americas,1992,Maize (corn),312078090.26,,Micronesia (Federated States of),104806.0,0,0,2977673.8951968397
Americas,1992,Maize (corn),312078090.26,,Netherlands (Kingdom of the),15276785.0,0,0,20428.257009573677
Americas,1992,Maize (corn),312078090.26,,Netherlands Antilles (former),234523.0,0,0,1330692.89690137
Americas,1992,Maize (corn),312078090.26,,RÃ©union,676420.0,0,0,461367.331332604
Americas,1992,Maize (corn),312078090.26,,Serbia and Montenegro,8485828.0,0,0,36776.386495224746
Americas,1992,Maize (corn),312078090.26,,Sudan (former),27837104.0,0,0,11210.867705922283
Americas,1992,Maize (corn),312078090.26,,TÃ¼rkiye,57990118.0,0,0,5381.573637425604
Americas,1992,Maize (corn),312078090.26,,United States Virgin Islands,104418.0,0,0,2988738.438391848
Americas,1992,Maize (corn),312078090.26,,Venezuela (Bolivarian Republic of),20780948.0,0,0,15017.509800804082
Americas,1992,Maize (corn),312078090.26,,Wallis and Futuna Islands,13778.0,0,0,22650463.801712874
Americas,1992,Maize (corn),312078090.26,,World,5505989092.0,0,0,56.6797509122272
Americas,1992,Maize (corn),312078090.26,,Eastern Africa,202805020.0,0,0,1538.8085080931428
Americas,1992,Maize (corn),312078090.26,,Middle Africa,77389188.0,0,0,4032.5799808107563
Americas,1992,Maize (corn),312078090.26,,Northern Africa,154672602.0,0,0,2017.6688451908244
Americas,1992,Maize (corn),312078090.26,,Southern Africa,48101554.0,0,0,6487.900375526329
Americas,1992,Maize (corn),312078090.26,,Western Africa,195589449.0,0,0,1595.577327179852
Americas,1992,Maize (corn),312078090.26,,Americas,746446434.0,0,0,418.0850440769873
Americas,1992,Maize (corn),312078090.26,,Northern America,288226643.0,0,0,1082.7524028026792
Americas,1992,Maize (corn),312078090.26,,Central America,116817718.0,0,0,2671.4962045397942
Americas,1992,Maize (corn),312078090.26,,Caribbean,35016035.0,0,0,8912.433696733511
Americas,1992,Maize (corn),312078090.26,,South America,306386038.0,0,0,1018.578040622073
Americas,1992,Maize (corn),312078090.26,,Asia,3325622564.0,0,0,93.84050181709075
Americas,1992,Maize (corn),312078090.26,,Central Asia,53012114.0,0,0,5886.920303913932
Americas,1992,Maize (corn),312078090.26,,Eastern Asia,1404715566.0,0,0,222.1646131171298
Americas,1992,Maize (corn),312078090.26,,Southern Asia,1255085374.0,0,0,248.6508860073769
Americas,1992,Maize (corn),312078090.26,,South-eastern Asia,457512308.0,0,0,682.119551328005
Americas,1992,Maize (corn),312078090.26,,Western Asia,155297203.0,0,0,2009.553837618054
Americas,1992,Maize (corn),312078090.26,,Europe,727615967.0,0,0,428.904950432458
Americas,1992,Maize (corn),312078090.26,,Eastern Europe,311608425.0,0,0,1001.5072290166737
Americas,1992,Maize (corn),312078090.26,,Northern Europe,92819819.0,0,0,3362.192402680725
Americas,1992,Maize (corn),312078090.26,,Southern Europe,144204848.0,0,0,2164.1303644659715
Americas,1992,Maize (corn),312078090.26,,Western Europe,178982876.0,0,0,1743.6198212615602
Americas,1992,Maize (corn),312078090.26,,Oceania,27746313.0,0,0,11247.551711104823
Americas,1992,Maize (corn),312078090.26,,Australia and New Zealand,21081533.0,0,0,14803.38693870128
Americas,1992,Maize (corn),312078090.26,,Melanesia,5645931.0,0,0,55274.86791106728
Americas,1992,Maize (corn),312078090.26,,European Union (27),407244710.0,0,0,766.3158847661889
Americas,1992,Maize (corn),312078090.26,,Least Developed Countries (LDCs),547033343.0,0,0,570.491898260761
Americas,1992,Maize (corn),312078090.26,,Land Locked Developing Countries (LLDCs),226498971.0,0,0,1377.834472634315
Americas,1992,Maize (corn),312078090.26,,Small Island Developing States (SIDS),50316232.0,0,0,6202.334273758814
Americas,1992,Maize (corn),312078090.26,,Low Income Food Deficit Countries (LIFDCs),475832762.0,0,0,655.8566689445398
Americas,1992,Maize (corn),312078090.26,,Net Food Importing Developing Countries (NFIDCs),910976608.0,0,0,342.57530601707833
Americas,1992,Rice,26883328.0,,"Ascension, Saint Helena and Tristan da Cunha",6524.0,0,0,4120681.7903126916
Americas,1992,Rice,26883328.0,,Belgium-Luxembourg,10437950.0,0,0,2575.5371504941104
Americas,1992,Rice,26883328.0,,Bolivia (Plurinational State of),7430336.0,0,0,3618.050112404069
Americas,1992,Rice,26883328.0,,"China, Hong Kong SAR",5759556.0,0,0,4667.604238937863
Americas,1992,Rice,26883328.0,,"China, Macao SAR",372248.0,0,0,72218.86484279297
Americas,1992,Rice,26883328.0,,"China, mainland",1184574237.0,0,0,22.69450673524989
Americas,1992,Rice,26883328.0,,"China, Taiwan Province of",20982088.0,0,0,1281.2513225566493
Americas,1992,Rice,26883328.0,,CÃ´te d'Ivoire,13200310.0,0,0,2036.567929086514
Americas,1992,Rice,26883328.0,,Czechoslovakia,15618884.0,0,0,1721.2067136166706
